sgd_id,systematic_name,id
S000005884,YOR357C,ID=cds5391
S000000195,YBL099W,ID=cds108
S000028542,YDR246W-A,ID=cds1134
S000003223,YGL254W,ID=cds1835
S000004556,YML091C,ID=cds4073
S000005887,YOR360C,ID=cds5394
S000000194,YBL098W,ID=cds109
S000028541,YDR194W-A,ID=cds1084
S000003224,YGL255W,ID=cds1834
S000005886,YOR359W,ID=cds5393
S000000193,YBL097W,ID=cds110
S000003225,YGL256W,ID=cds1833
S000004550,YML085C,ID=cds4077
S000005881,YOR354C,ID=cds5388
S000028547,YFL041W-A,ID=cds1723
S000005880,YOR353C,ID=cds5387
S000000199,YBL103C,ID=cds102
S000028546,YER078W-A,ID=cds1583
S000004552,YML087C,ID=cds4075
S000005883,YOR356W,ID=cds5390
S000000198,YBL102W,ID=cds103
S000003220,YGL251C,ID=cds1838
S000004551,YML086C,ID=cds4076
S000005882,YOR355W,ID=cds5389
S000000197,YBL101C,ID=cds104
S000003221,YGL252C,ID=cds1837
S000000191,YBL095W,ID=cds111
S000007608,YGR271C-A,ID=cds2333
S000007606,YFR012W-A,ID=cds1778
S000003248,YGR016W,ID=cds2084
S000004579,YML111W,ID=cds4052
S000007607,YGL258W-A,ID=cds1830
S000003249,YGR017W,ID=cds2085
S000028509,YNL138W-A,ID=cds4678
S000007604,YDR320C-A,ID=cds1209
S000028508,YCL005W-A,ID=cds560
S000007605,YDR379C-A,ID=cds1269
S000004587,YML118W,ID=cds4045
S000028510,YBR111W-A,ID=cds314
S000003255,YGR023W,ID=cds2090
S000003256,YGR024C,ID=cds2091
S000007611,YJL062W-A,ID=cds2997
S000004589,YML120C,ID=cds4043
S000004588,YML119W,ID=cds4044
S000003258,YGR026W,ID=cds2092
S000028514,YMR194C-B,ID=cds4358
S000004583,YML115C,ID=cds4048
S000003251,YGR019W,ID=cds2087
S000007610,YJL052C-A,ID=cds3008
S000028513,YJR112W-A,ID=cds3160
S000004582,YML114C,ID=cds4049
S000003252,YGR020C,ID=cds2088
S000028512,YKR095W-A,ID=cds3510
S000004585,YML117W,ID=cds4046
S000003253,YGR021W,ID=cds2089
S000004584,YML116W,ID=cds4047
S000028511,YIL156W-B,ID=cds2653
S000004581,YML113W,ID=cds4050
S000004580,YML112W,ID=cds4051
S000003250,YGR018C,ID=cds2086
S000028518,YCL058W-A,ID=cds512
S000028517,YBL039W-B,ID=cds161
S000028516,YOR072W-B,ID=cds5123
S000028515,YPR170W-B,ID=cds5861
S000003237,YGR005C,ID=cds2074
S000004568,YML101C,ID=cds4062
S000005899,YOR372C,ID=cds5404
S000003238,YGR006W,ID=cds2075
S000003239,YGR007W,ID=cds2076
S000028519,YCR075W-A,ID=cds633
S000004576,YML108W,ID=cds4055
S000003244,YGR012W,ID=cds2080
S000028521,YGR169C-A,ID=cds2237
S000004575,YML107C,ID=cds4056
S000028520,YDL160C-A,ID=cds744
S000007603,YDR079C-A,ID=cds972
S000003245,YGR013W,ID=cds2081
S000004578,YML110C,ID=cds4053
S000003246,YGR014W,ID=cds2082
S000004577,YML109W,ID=cds4054
S000003247,YGR015C,ID=cds2083
S000028525,YLR307C-A,ID=cds3882
S000004572,YML104C,ID=cds4059
S000003240,YGR008C,ID=cds2077
S000028524,YKL068W-A,ID=cds3351
S000004571,YML103C,ID=cds4060
S000003241,YGR009C,ID=cds2078
S000028523,YJR005C-A,ID=cds3058
S000004574,YML106W,ID=cds4057
S000003242,YGR010W,ID=cds2079
S000028522,YJL127C-B,ID=cds2935
S000004573,YML105C,ID=cds4058
S000004570,YML102W,ID=cds4061
S000005059,YNL115C,ID=cds4702
S000005056,YNL112W,ID=cds4704
S000006388,YPR184W,ID=cds5874
S000005055,YNL111C,ID=cds4705
S000006389,YPR185W,ID=cds5875
S000006386,YPR182W,ID=cds5872
S000005057,YNL113W,ID=cds4703
S000006387,YPR183W,ID=cds5873
S000005052,YNL108C,ID=cds4707
S000006384,YPR180W,ID=cds5870
S000005051,YNL107W,ID=cds4708
S000006385,YPR181C,ID=cds5871
S000005054,YNL110C,ID=cds4706
S000006382,YPR178W,ID=cds5868
S000006383,YPR179C,ID=cds5869
S000006380,YPR176C,ID=cds5867
S000005050,YNL106C,ID=cds4709
S000005048,YNL104C,ID=cds4710
S000006379,YPR175W,ID=cds5866
S000005045,YNL101W,ID=cds4713
S000006377,YPR173C,ID=cds5864
S000005044,YNL100W,ID=cds4714
S000006378,YPR174C,ID=cds5865
S000005047,YNL103W,ID=cds4711
S000006375,YPR171W,ID=cds5862
S000005046,YNL102W,ID=cds4712
S000006376,YPR172W,ID=cds5863
S000005041,YNL097C,ID=cds4718
S000006373,YPR169W,ID=cds5860
S000005040,YNL096C,ID=cds4719
S000005043,YNL099C,ID=cds4715
S000006371,YPR167C,ID=cds5858
S000005042,YNL098C,ID=cds4716
S000006372,YPR168W,ID=cds5859
S000006370,YPR166C,ID=cds5857
S000005078,YNL134C,ID=cds4683
S000005077,YNL133C,ID=cds4684
S000005079,YNL135C,ID=cds4682
S000005074,YNL130C,ID=cds4687
S000005073,YNL129W,ID=cds4689
S000005076,YNL132W,ID=cds4685
S000005075,YNL131W,ID=cds4686
S000005070,YNL126W,ID=cds4692
S000005072,YNL128W,ID=cds4690
S000005071,YNL127W,ID=cds4691
S000005067,YNL123W,ID=cds4695
S000005066,YNL122C,ID=cds4696
S000005069,YNL125C,ID=cds4693
S000006397,YPR193C,ID=cds5883
S000005068,YNL124W,ID=cds4694
S000006398,YPR194C,ID=cds5884
S000005063,YNL119W,ID=cds4698
S000006395,YPR191W,ID=cds5881
S000005062,YNL118C,ID=cds4699
S000006396,YPR192W,ID=cds5882
S000005065,YNL121C,ID=cds4697
S000006393,YPR189W,ID=cds5879
S000006394,YPR190C,ID=cds5880
S000006391,YPR187W,ID=cds5877
S000006392,YPR188C,ID=cds5878
S000005061,YNL117W,ID=cds4700
S000005060,YNL116W,ID=cds4701
S000006390,YPR186C,ID=cds5876
S000005009,YNL065W,ID=cds4750
S000005008,YNL064C,ID=cds4751
S000006339,YPR135W,ID=cds5822
S000005016,YNL072W,ID=cds4742
S000006348,YPR144C,ID=cds5831
S000005015,YNL071W,ID=cds4743
S000006349,YPR145W,ID=cds5832
S000005018,YNL074C,ID=cds4740
S000005017,YNL073W,ID=cds4741
S000006347,YPR143W,ID=cds5830
S000005012,YNL068C,ID=cds4746
S000006344,YPR140W,ID=cds5828
S000005011,YNL067W,ID=cds4748
S000006345,YPR141C,ID=cds5829
S000005014,YNL070W,ID=cds4744
S000006342,YPR138C,ID=cds5826
S000005013,YNL069C,ID=cds4745
S000006343,YPR139C,ID=cds5827
S000006341,YPR137W,ID=cds5823
S000005010,YNL066W,ID=cds4749
S000006328,YPR124W,ID=cds5812
S000006329,YPR125W,ID=cds5813
S000005005,YNL061W,ID=cds4754
S000006337,YPR133C,ID=cds5819
S000005004,YNL059C,ID=cds4755
S000006338,YPR134W,ID=cds5821
S000005007,YNL063W,ID=cds4752
S000006335,YPR131C,ID=cds5817
S000005006,YNL062C,ID=cds4753
S000006336,YPR132W,ID=cds5818
S000005001,YNL056W,ID=cds4757
S000006333,YPR129W,ID=cds5816
S000005000,YNL055C,ID=cds4758
S000005003,YNL058C,ID=cds4756
S000006331,YPR127W,ID=cds5814
S000006332,YPR128C,ID=cds5815
S000005038,YNL094W,ID=cds4721
S000028598,YBL100W-C,ID=cds105
S000005037,YNL093W,ID=cds4722
S000028597,YBL071C-B,ID=cds132
S000006368,YPR164W,ID=cds5855
S000005039,YNL095C,ID=cds4720
S000006369,YPR165W,ID=cds5856
S000028595,YAR035C-A,ID=cds87
S000005034,YNL090W,ID=cds4725
S000006366,YPR162C,ID=cds5853
S000006367,YPR163C,ID=cds5854
S000005036,YNL092W,ID=cds4723
S000006364,YPR160W,ID=cds5851
S000005035,YNL091W,ID=cds4724
S000006365,YPR161C,ID=cds5852
S000005030,YNL086W,ID=cds4728
S000028590,YPR108W-A,ID=cds5797
S000006362,YPR158W,ID=cds5844
S000006363,YPR159W,ID=cds5849
S000005032,YNL088W,ID=cds4726
S000006360,YPR156C,ID=cds5842
S000005031,YNL087W,ID=cds4727
S000006361,YPR157W,ID=cds5843
S000028593,YAL067W-A,ID=cds1
S000005019,YNL075W,ID=cds4739
S000005027,YNL083W,ID=cds4731
S000006359,YPR155C,ID=cds5841
S000005026,YNL082W,ID=cds4732
S000005029,YNL085W,ID=cds4729
S000006357,YPR153W,ID=cds5839
S000005028,YNL084C,ID=cds4730
S000006358,YPR154W,ID=cds5840
S000005023,YNL079C,ID=cds4735
S000006355,YPR151C,ID=cds5837
S000005022,YNL078W,ID=cds4736
S000006356,YPR152C,ID=cds5838
S000005025,YNL081C,ID=cds4733
S000006353,YPR149W,ID=cds5836
S000005024,YNL080C,ID=cds4734
S000006351,YPR147C,ID=cds5834
S000006352,YPR148C,ID=cds5835
